"INDICATOR","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","SWE","Sweden","2013","2013",96.2,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","SWE","Sweden","2014","2014",96,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","SWE","Sweden","2015","2015",95.9,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","CHE","Switzerland","2005","2005",97.8,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","CHE","Switzerland","2006","2006",97.5,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","CHE","Switzerland","2007","2007",96.4,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","CHE","Switzerland","2008","2008",96.1,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","CHE","Switzerland","2009","2009",96,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","CHE","Switzerland","2010","2010",96,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","CHE","Switzerland","2011","2011",95.8,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","CHE","Switzerland","2012","2012",95.7,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","CHE","Switzerland","2013","2013",95.6,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","CHE","Switzerland","2014","2014",95.3,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","CHE","Switzerland","2015","2015",95.2,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","TUR","Turkey","2005","2005",93.9,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","TUR","Turkey","2006","2006",92.1,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","GBR","United Kingdom of Great Britain and Northern Ireland","2007","2007",71.8,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","GBR","United Kingdom of Great Britain and Northern Ireland","2008","2008",70.4,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","GBR","United Kingdom of Great Britain and Northern Ireland","2009","2009",69.7,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","GBR","United Kingdom of Great Britain and Northern Ireland","2010","2010",69.7,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","GBR","United Kingdom of Great Britain and Northern Ireland","2011","2011",69.5,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","GBR","United Kingdom of Great Britain and Northern Ireland","2012","2012",70.4,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","GBR","United Kingdom of Great Britain and Northern Ireland","2013","2013",69.3,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","GBR","United Kingdom of Great Britain and Northern Ireland","2014","2014",68.7,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","GBR","United Kingdom of Great Britain and Northern Ireland","2015","2015",67.9,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","USA","United States of America","2006","2006",64.6,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","USA","United States of America","2007","2007",64.4,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","USA","United States of America","2008","2008",63.2,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","USA","United States of America","2009","2009",61.6,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","AND","Andorra","2005","2005",100,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","AND","Andorra","2006","2006",100,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","ARG","Argentina","2007","2007",89.3,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","ARG","Argentina","2008","2008",88.7,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","ARG","Argentina","2009","2009",87.9,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","ARG","Argentina","2010","2010",87.1,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","ARG","Argentina","2011","2011",86.5,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","ARG","Argentina","2012","2012",89.3,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","ARG","Argentina","2013","2013",89.2,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","ARG","Argentina","2014","2014",87.8,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","ARG","Argentina","2015","2015",87.6,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","AZE","Azerbaijan","2005","2005",100,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","AZE","Azerbaijan","2006","2006",100,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","AZE","Azerbaijan","2007","2007",100,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","AZE","Azerbaijan","2008","2008",100,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","AZE","Azerbaijan","2009","2009",100,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","AZE","Azerbaijan","2010","2010",100,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","AZE","Azerbaijan","2011","2011",100,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","AZE","Azerbaijan","2012","2012",100,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","AZE","Azerbaijan","2013","2013",100,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","AZE","Azerbaijan","2014","2014",100,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","AZE","Azerbaijan","2015","2015",100,,
