"INDICATOR","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"20000","Total R&D personnel (FTE) - Total ","HUN","Hungary","2002","2002",23703,,
"20000","Total R&D personnel (FTE) - Total ","HUN","Hungary","2003","2003",23311,,
"20000","Total R&D personnel (FTE) - Total ","HUN","Hungary","2004","2004",22826,,
"20000","Total R&D personnel (FTE) - Total ","HUN","Hungary","2005","2005",23239,,
"20000","Total R&D personnel (FTE) - Total ","HUN","Hungary","2006","2006",25971,,
"20000","Total R&D personnel (FTE) - Total ","HUN","Hungary","2007","2007",25954,,
"20000","Total R&D personnel (FTE) - Total ","HUN","Hungary","2008","2008",27403,,
"20000","Total R&D personnel (FTE) - Total ","HUN","Hungary","2009","2009",29795,,
"20000","Total R&D personnel (FTE) - Total ","HUN","Hungary","2010","2010",31480,,
"20000","Total R&D personnel (FTE) - Total ","HUN","Hungary","2011","2011",33960,,
"20000","Total R&D personnel (FTE) - Total ","HUN","Hungary","2012","2012",35732,,
"20000","Total R&D personnel (FTE) - Total ","HUN","Hungary","2013","2013",38163,,
"20000","Total R&D personnel (FTE) - Total ","HUN","Hungary","2014","2014",37329,,
"20000","Total R&D personnel (FTE) - Total ","HUN","Hungary","2015","2015",36847,,
"20000","Total R&D personnel (FTE) - Total ","ISL","Iceland","1997","1997",2150.2,,
"20000","Total R&D personnel (FTE) - Total ","ISL","Iceland","1998","1998",2272.925,,
"20000","Total R&D personnel (FTE) - Total ","ISL","Iceland","1999","1999",2390.4,,
"20000","Total R&D personnel (FTE) - Total ","ISL","Iceland","2001","2001",2900.5,,
"20000","Total R&D personnel (FTE) - Total ","ISL","Iceland","2002","2002",2797.061,,
"20000","Total R&D personnel (FTE) - Total ","ISL","Iceland","2003","2003",2940,,
"20000","Total R&D personnel (FTE) - Total ","ISL","Iceland","2005","2005",3225.8,,
"20000","Total R&D personnel (FTE) - Total ","ISL","Iceland","2006","2006",3414.51,,
"20000","Total R&D personnel (FTE) - Total ","ISL","Iceland","2007","2007",2982.4,,
"20000","Total R&D personnel (FTE) - Total ","ISL","Iceland","2008","2008",3116.608,,
"20000","Total R&D personnel (FTE) - Total ","ISL","Iceland","2009","2009",3397,,
"20000","Total R&D personnel (FTE) - Total ","ISL","Iceland","2011","2011",3244,,
"20000","Total R&D personnel (FTE) - Total ","ISL","Iceland","2013","2013",2736.28,,
"20000","Total R&D personnel (FTE) - Total ","ISL","Iceland","2015","2015",2941.32,,
"20000","Total R&D personnel (FTE) - Total ","IRL","Ireland","1996","1996",9998.775,,
"20000","Total R&D personnel (FTE) - Total ","IRL","Ireland","1997","1997",10825.978,,
"20000","Total R&D personnel (FTE) - Total ","IRL","Ireland","1998","1998",11613.181,,
"20000","Total R&D personnel (FTE) - Total ","IRL","Ireland","1999","1999",11929,,
"20000","Total R&D personnel (FTE) - Total ","IRL","Ireland","2000","2000",12762,,
"20000","Total R&D personnel (FTE) - Total ","IRL","Ireland","2001","2001",13317,,
"20000","Total R&D personnel (FTE) - Total ","IRL","Ireland","2002","2002",13582,,
"20000","Total R&D personnel (FTE) - Total ","IRL","Ireland","2003","2003",14450,,
"20000","Total R&D personnel (FTE) - Total ","IRL","Ireland","2004","2004",15713,,
"20000","Total R&D personnel (FTE) - Total ","IRL","Ireland","2005","2005",16690,,
"20000","Total R&D personnel (FTE) - Total ","IRL","Ireland","2006","2006",17444,,
"20000","Total R&D personnel (FTE) - Total ","IRL","Ireland","2007","2007",18157,,
"20000","Total R&D personnel (FTE) - Total ","IRL","Ireland","2008","2008",20018,,
"20000","Total R&D personnel (FTE) - Total ","IRL","Ireland","2009","2009",19705,,
"20000","Total R&D personnel (FTE) - Total ","IRL","Ireland","2010","2010",19722,,
"20000","Total R&D personnel (FTE) - Total ","IRL","Ireland","2011","2011",21591,,
"20000","Total R&D personnel (FTE) - Total ","IRL","Ireland","2012","2012",23169.188,,
"20000","Total R&D personnel (FTE) - Total ","IRL","Ireland","2013","2013",24129.3,,
"20000","Total R&D personnel (FTE) - Total ","IRL","Ireland","2014","2014",28379.4,,
"20000","Total R&D personnel (FTE) - Total ","IRL","Ireland","2015","2015",29443.895,,
"20000","Total R&D personnel (FTE) - Total ","ITA","Italy","1996","1996",142288,,
"20000","Total R&D personnel (FTE) - Total ","ITA","Italy","1998","1998",145968,,
"20000","Total R&D personnel (FTE) - Total ","ITA","Italy","1999","1999",142506,,
"20000","Total R&D personnel (FTE) - Total ","ITA","Italy","2000","2000",150066,,
"20000","Total R&D personnel (FTE) - Total ","ITA","Italy","2001","2001",153905,,
"20000","Total R&D personnel (FTE) - Total ","ITA","Italy","2002","2002",164023,,
"20000","Total R&D personnel (FTE) - Total ","ITA","Italy","2003","2003",161827.8,,
"20000","Total R&D personnel (FTE) - Total ","ITA","Italy","2004","2004",164026.3,,
"20000","Total R&D personnel (FTE) - Total ","ITA","Italy","2005","2005",175247.6,,
"20000","Total R&D personnel (FTE) - Total ","ITA","Italy","2006","2006",192002.4,,
"20000","Total R&D personnel (FTE) - Total ","ITA","Italy","2007","2007",208376.2,,
"20000","Total R&D personnel (FTE) - Total ","ITA","Italy","2008","2008",221115,,
"20000","Total R&D personnel (FTE) - Total ","ITA","Italy","2009","2009",226526.6,,
"20000","Total R&D personnel (FTE) - Total ","ITA","Italy","2010","2010",225631.6,,
"20000","Total R&D personnel (FTE) - Total ","ITA","Italy","2011","2011",228094,,
"20000","Total R&D personnel (FTE) - Total ","ITA","Italy","2012","2012",240179.2,,
"20000","Total R&D personnel (FTE) - Total ","ITA","Italy","2013","2013",246764,,
"20000","Total R&D personnel (FTE) - Total ","ITA","Italy","2014","2014",249466.8,,
"20000","Total R&D personnel (FTE) - Total ","ITA","Italy","2015","2015",248140.1,,
"20000","Total R&D personnel (FTE) - Total ","JPN","Japan","1996","1996",891783,,
"20000","Total R&D personnel (FTE) - Total ","JPN","Japan","1997","1997",894003,,
"20000","Total R&D personnel (FTE) - Total ","JPN","Japan","1998","1998",925569,,
"20000","Total R&D personnel (FTE) - Total ","JPN","Japan","1999","1999",919132,,
"20000","Total R&D personnel (FTE) - Total ","JPN","Japan","2000","2000",896847,,
"20000","Total R&D personnel (FTE) - Total ","JPN","Japan","2001","2001",869180,,
"20000","Total R&D personnel (FTE) - Total ","JPN","Japan","2002","2002",833788,,
